n,time_ns,depth,comparisons,allocations,algorithm
100,421300,4,661,1,MergeSort
100,233700,3,750,0,QuickSort
100,336000,5,750,8,DeterministicSelect
100,3597000,7,244,71,ClosestPair
1000,1624200,7,10390,1,MergeSort
1000,1201700,5,12341,0,QuickSort
1000,1247500,6,8872,40,DeterministicSelect
1000,9126400,10,2310,975,ClosestPair
5000,4932700,10,58993,1,MergeSort
5000,5247900,6,74385,0,QuickSort
5000,5817500,9,48071,109,DeterministicSelect
5000,38229100,12,12754,4095,ClosestPair
10000,35405100,11,128297,1,MergeSort
10000,21214800,8,163332,0,QuickSort
10000,21716300,9,95457,177,DeterministicSelect
10000,349449900,13,25064,8191,ClosestPair
